Description,Price,Rating,Reviews Count,URL,Image link
"ThinkerPlace STEM DIY Obstacle Avoiding Programmable Bluetooth Robot for kids to Learn Coding, Robotics and Electronics | Age: 8+ years | STEM learning Toys | Learning & Education Toys | 3D Printed Case","₹5,400",5.0 out of 5 stars,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A041679535OUICN80EZX1&url=%2FThinkerPlace-Obstacle-Programmable-Bluetooth-Electronics%2Fdp%2FB096M43GFY%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-21-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_mtf,https://m.media-amazon.com/images/I/61k70l2ofHL._AC_UL320_.jpg
"Bn Enterprise 13-in-1 Solar Power Robots Creation Toy, Educational Experiment Robotics Kit, Science Toy Solar Powered Building Robotic Set Age 8-12 for Boys Girls Kids Teens to Build (Robot)",₹939,4.2 out of 5 stars,11,https://www.amazon.in/Bn-Enterprise-Creation-Educational-Experiment/dp/B097BG6T5Q/ref=sr_1_22?dchild=1&keywords=robotics&qid=1631577274&sr=8-22,https://m.media-amazon.com/images/I/81e0qv8JKmS._AC_UL320_.jpg
Kit4Curious 4 DOF servo Controlled Robotic arm with Gripper Complete kit with 4 servo Assembled,"₹1,367",3.9 out of 5 stars,34,https://www.amazon.in/DOF-servo-Controlled-Robotic-Gripper/dp/B07R6SWCM7/ref=sr_1_23?dchild=1&keywords=robotics&qid=1631577274&sr=8-23,https://m.media-amazon.com/images/I/71HeHNLF+XL._AC_UL320_.jpg
Robotics,₹500,4.1 out of 5 stars,by ,https://www.amazon.in/Robotics-K-S-Fu/dp/0070265100/ref=sr_1_24?dchild=1&keywords=robotics&qid=1631577274&sr=8-24,https://m.media-amazon.com/images/I/61czKbdOYjL._AC_UL320_.jpg
Fundamentals of Robotics: Analysis and C,₹559.94,4.4 out of 5 stars,by ,https://www.amazon.in/Fundamentals-Robotics-Analysis-C-Schilling/dp/9332555230/ref=sr_1_25?dchild=1&keywords=robotics&qid=1631577274&sr=8-25,https://m.media-amazon.com/images/I/81LoavtP+bL._AC_UL320_.jpg
Wishmaster Motorized Constructions & Building Robotic STEM Engineering Toy Kit for Creative Kids | Best Gift for Your Kid | Build 5 Different Models | 8+ Year & Above,₹698,3.6 out of 5 stars,6,https://www.amazon.in/Wishmaster-Motorized-Constructions-STEM-Engineering/dp/B08VN3JTJV/ref=sr_1_26?dchild=1&keywords=robotics&qid=1631577274&sr=8-26,https://m.media-amazon.com/images/I/71VrusVe2CL._AC_UL320_.jpg
"Cretile Voyager Kit - A DIY Kit & Online Course for Robotics, Electronics STEM Projects | 8+ Years Kids | Unlimited Projects Without Coding | Rechargeable Battery Included","₹7,699",,,https://www.amazon.in/Cretile-Voyager-Kit-Electronic-Unlimited/dp/B06VS8W7JM/ref=sr_1_27?dchild=1&keywords=robotics&qid=1631577274&sr=8-27,https://m.media-amazon.com/images/I/81iHDwrO-gS._AC_UL320_.jpg
"Funvention- for Little Scientist in Every Kid Engineered Wood i-Robot Battery Operated DIY self Balanced Walking Robotic Model Motor Powered stem Learning kit, Multicolour, 8+ Years","₹1,404",3.2 out of 5 stars,14,https://www.amazon.in/Funvention-Little-Scientist-Every-Kid/dp/B0828384D2/ref=sr_1_28?dchild=1&keywords=robotics&qid=1631577274&sr=8-28,https://m.media-amazon.com/images/I/91S7-c9S5sL._AC_UL320_.jpg
"Roinco UNO Robotics Kit Compatible with Arduino Ide, Stem Education, Coding for Kids","₹2,899",4.3 out of 5 stars,4,https://www.amazon.in/Roinco-Robotics-Compatible-Arduino-Education/dp/B0951JQ4V6/ref=sr_1_30?dchild=1&keywords=robotics&qid=1631577274&sr=8-30,https://m.media-amazon.com/images/I/71YDqucTFYL._AC_UL320_.jpg
"solar robot kit Toys for 10 year old boys, Solar Power Robots Creation Toy, Educational Experiment DIY Robotics Kit, Science Toy Solar Powered Building Robotic Set Age 8-12 for Boys Girls Kids Teens to Build (Robot)",₹899,3.5 out of 5 stars,17,https://www.amazon.in/Solar-Creation-Educational-Experiment-Robotics/dp/B095J56CJK/ref=sr_1_31?dchild=1&keywords=robotics&qid=1631577274&sr=8-31,https://m.media-amazon.com/images/I/81e0qv8JKmS._AC_UL320_.jpg
Magicwand 13-in-1 Educational Solar Robotic Kit for Kids,"₹1,199",3.1 out of 5 stars,12,https://www.amazon.in/Magicwand-Educational-Solar-Robotic-Kids/dp/B094D4B4GL/ref=sr_1_32?dchild=1&keywords=robotics&qid=1631577274&sr=8-32,https://m.media-amazon.com/images/I/71HGr43hxmL._AC_UL320_.jpg
Sparklebox DIY Robotic Kit | Grade 9 | 21 Experiments | for Kids of Age 13 Years and Above| Stem Educational Science Project Learning Kit.,"₹1,275",3.6 out of 5 stars,87,https://www.amazon.in/Sparklebox-Robotic-Grade-Experiments-Years/dp/B08TC34RBJ/ref=sr_1_33?dchild=1&keywords=robotics&qid=1631577274&sr=8-33,https://m.media-amazon.com/images/I/61QMoGDegUL._AC_UL320_.jpg
"Heer Enterprise STEM 13-in-1 Solar Power Robots Creation Toy, Educational Experiment DIY Robotics Kit, Science Toy Solar Powered Building Robotic Set Age 10-14 for Boys Girls Kids Teens to Build",₹999,3.6 out of 5 stars,15,https://www.amazon.in/Heer-Enterprise-Creation-Educational-Experiment/dp/B097RSMKRN/ref=sr_1_34?dchild=1&keywords=robotics&qid=1631577274&sr=8-34,https://m.media-amazon.com/images/I/81sopmAHnNL._AC_UL320_.jpg
"Bn Enterprise 13-in-1 Solar Power Robots Creation Toy, Educational Experiment DIY Robotics Kit, Science Toy Solar Powered Building Robotic Set Age 10-14 for Boys Girls Kids Teens to Build",₹945,,,https://www.amazon.in/Bn-Enterprise-Creation-Educational-Experiment/dp/B0999KCX94/ref=sr_1_35?dchild=1&keywords=robotics&qid=1631577274&sr=8-35,https://m.media-amazon.com/images/I/61Q9RweDP1L._AC_UL320_.jpg
BGVT Educational 13 in 1 Solar Robot Kit Toys for Kids Education Learning Purpose Robotic Kit (Multi Color),"₹1,047",4.0 out of 5 stars,5,https://www.amazon.in/BGVT-Educational-Education-Learning-Purpose/dp/B096S8MW4D/ref=sr_1_36?dchild=1&keywords=robotics&qid=1631577274&sr=8-36,https://m.media-amazon.com/images/I/61T7BzOORHL._AC_UL320_.jpg
Comdaq Robotic Claw for Kids Age 3 Years & Above,₹379,,,https://www.amazon.in/Comdaq-Robotic-Claw-Years-Above/dp/B098FJ8JQD/ref=sr_1_37?dchild=1&keywords=robotics&qid=1631577274&sr=8-37,https://m.media-amazon.com/images/I/31RVuqx4GuS._AC_UL320_.jpg
Sparklebox DIY Voice Control Car Robotics Kit | Ideal for Age 10 Years and Above | Robotic Kit For Kids | Stem Educational Science Project Learning Kit.Robotic Car Educational Science Project Learning Kit. Modular Electronic Circuits |Compatible with Arduino,"₹1,020",3.2 out of 5 stars,45,https://www.amazon.in/Sparklebox-Educational-Kit-Robotic-Electronic-Compatible/dp/B08WLBM723/ref=sr_1_38?dchild=1&keywords=robotics&qid=1631577274&sr=8-38,https://m.media-amazon.com/images/I/71X91xA-AJL._AC_UL320_.jpg
SARVATRAY Kid Toy Set 6 in 1 Solar Robot Kit Toys for Kids Educational and Learning Robotic Model Building Science School Projects Kids Boys Girls (Multi),₹699,,Save 5%,https://www.amazon.in/SARVATRAY-Educational-Learning-Building-Projects/dp/B09DL6LKDF/ref=sr_1_40?dchild=1&keywords=robotics&qid=1631577274&sr=8-40,https://m.media-amazon.com/images/I/51zPqc2bVyL._AC_UL320_.jpg
"Robocraze 37 in 1 Sensor Kit compatible with Arduino | Ultimate Sensor Module kit for UNO R3, MEGA, NANO boards | Sensor kit for DIY projects | Robotics Science Project","₹1,600",4.1 out of 5 stars,39,https://www.amazon.in/Robocraze-Ultimate-Modules-Arduino-Robotics/dp/B07H6RM6B6/ref=sr_1_41?dchild=1&keywords=robotics&qid=1631577274&sr=8-41,https://m.media-amazon.com/images/I/71rwFl8vLEL._AC_UL320_.jpg
Toys Bhoomi RC Walking T-Rex Dinosaur Robot with Realistic Mouth Opening & Eyes Lighting Up Function for Boys & Girls Science STEM Robotic Dino Toy,"₹1,599",,,https://www.amazon.in/Toys-Bhoomi-Dinosaur-Realistic-Lighting/dp/B09DGQQLMV/ref=sr_1_42?dchild=1&keywords=robotics&qid=1631577274&sr=8-42,https://m.media-amazon.com/images/I/71fGHa919CL._AC_UL320_.jpg
Kit4Curious Super Kit 100 items in a kit – Science & fun innovation Kit with instruction manual for 100 projects,₹699,4.2 out of 5 stars,"5,093",https://www.amazon.in/Super-Science-innovation-Instruction-Manual/dp/B071WRVX72/ref=sr_1_43?dchild=1&keywords=robotics&qid=1631577274&sr=8-43,https://m.media-amazon.com/images/I/710nlt3YcXL._AC_UL320_.jpg
Robotics : Mechanics And Control,₹280,3.0 out of 5 stars,by ,https://www.amazon.in/Robotics-Mechanics-Guruprasad-K-R/dp/9388028619/ref=sr_1_44?dchild=1&keywords=robotics&qid=1631577274&sr=8-44,https://m.media-amazon.com/images/I/61p48enm+BL._AC_UL320_.jpg
Rytronics | Wheels for BO Motors - 65mm | Robotic Wheel Yellow Rubber grip (Pack of 4),₹255,,,https://www.amazon.in/Rytronics-Wheels-BO-Motors-Robotic/dp/B09FXBBG2W/ref=sr_1_46?dchild=1&keywords=robotics&qid=1631577274&sr=8-46,https://m.media-amazon.com/images/I/61xXHmC+QyL._AC_UL320_.jpg
"Smartivity Robotic Mechanical Hand STEM Educational DIY Fun Toys, Educational & Construction based Activity Game for Kids 8 to 14, Gifts for Boys & Girls, Learn Science Engineering Project, Made in India",₹806,4.5 out of 5 stars,583,https://www.amazon.in/Smartivity-Mechanical-Learning-Educational-Activity/dp/B07XTKJXPT/ref=sr_1_47?dchild=1&keywords=robotics&qid=1631577274&sr=8-47,https://m.media-amazon.com/images/I/81li0ZJd3HS._AC_UL320_.jpg
"Bluebell Toys for 8-10 Year Old Boys and Girls, 13-in-1 Education Solar Robot Toys Solar Powered by The Sun|DIY Kit Building Science Experiment Kit for Kids, Best Gifts for 8-12 Year Old Boys and Girls (Multi)",₹899,3.3 out of 5 stars,87,https://www.amazon.in/Bluebell-Education-Powered-Building-Experiment/dp/B091FWHKKH/ref=sr_1_48?dchild=1&keywords=robotics&qid=1631577274&sr=8-48,https://m.media-amazon.com/images/I/713CgPQspML._AC_UL320_.jpg
Robotics: From Beginner to Expert for Everything You Want to Know About Robotics,₹0,,by ,https://www.amazon.in/Robotics-Beginner-Expert-Everything-About-ebook/dp/B08PW1X7PK/ref=sr_1_49?dchild=1&keywords=robotics&qid=1631577274&sr=8-49,https://m.media-amazon.com/images/I/61sTj+QCo2L._AC_UL320_.jpg
MECHANIX DIY Stem and Steam Education Metal Construction Set (Motors & Gears) for Boys & Girls (Robotix - 0),₹392,4.1 out of 5 stars,376,https://www.amazon.in/Zephyr-Robotix-Building-Kit/dp/B07438LX5B/ref=sr_1_50?dchild=1&keywords=robotics&qid=1631577274&sr=8-50,https://m.media-amazon.com/images/I/71aeD0IPy1L._AC_UL320_.jpg
Sparklebox DIY Obstacle Avoiding Robotics Kit |Sense Obstacle In Front and avoid them by turning itself. | Gifts for Kids of Age 10 12 Years and Above | Modular Electronic Circuits | Arduino Science Projects.,"₹1,020",3.0 out of 5 stars,71,https://www.amazon.in/Sparklebox-Obstacle-Avoiding-Robotics-Education/dp/B08WJ7MG4M/ref=sr_1_51?dchild=1&keywords=robotics&qid=1631577274&sr=8-51,https://m.media-amazon.com/images/I/711QBvEOZvL._AC_UL320_.jpg
Wishmaster Motorized Constructions & Building Robotic STEM Engineering Toy Kit for Creative Kids | Best Gift for Your Kid | Build 8 Different Models |8+ Year & Above (WM-R2),"₹1,498",3.6 out of 5 stars,6,https://www.amazon.in/Wishmaster-Motorized-Constructions-STEM-Engineering/dp/B08VNGW67X/ref=sr_1_52?dchild=1&keywords=robotics&qid=1631577274&sr=8-52,https://m.media-amazon.com/images/I/71hGgK1KUIL._AC_UL320_.jpg
REES52 SMD Uno Based Super Starter Kit Compatible with Arduino smd Full Learning Kit For Robotics Project Kit,"₹1,499",3.7 out of 5 stars,19,https://www.amazon.in/REES52-Starter-Compatible-Learning-Robotics/dp/B093W5QMFD/ref=sr_1_53?dchild=1&keywords=robotics&qid=1631577274&sr=8-53,https://m.media-amazon.com/images/I/71TU+WZ8hqS._AC_UL320_.jpg
Sparklebox Maze Solver Robot Find a Path Without Any Assistance II Best Gift For Kids Age 10 11 12 Years And Above II Robotic Science Project Kit II Sensor Kit Compatible with Arduino,"₹1,020",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0824076JM4IVOV9UR60&url=%2FSparklebox-Without-Assistance-Robotic-Compatible%2Fdp%2FB09F9986FF%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-54-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_btf,https://m.media-amazon.com/images/I/61owuxqtqSL._AC_UL320_.jpg
"Sparklebox (6 IN 1) Mega Robotics kit 2 |Age 10 years and above.|Science Toys For Kids|Robotics DIY Kit.||Modular Electronic Circuits |Compatible with Arduino|(Line Following Robot ,Joy Stick control car,Edge Avoiding Robot using Ultrasonic Sensor,Gesture Control Robot, Maze Solving Robot,Voice control Car)","₹1,699",3.2 out of 5 stars,45,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A013279357Q35D6V2NJS&url=%2FSparklebox-Electronic-Compatible-Following-Ultrasonic%2Fdp%2FB08ZJ3CK9T%2Fref%3Dsr_1_55_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-55-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_btf,https://m.media-amazon.com/images/I/71gNN7qOPmL._AC_UL320_.jpg
"Sparklebox DIY Robotics Kit | Grade 5 | 24 Experiments | Ideal Gift for Kids of Age 10 Years and Above. Simple Glider, Model Aircraft ,Friction Theory ,Microcontroller UNO",₹850,4.1 out of 5 stars,9,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0816572191SL0YHJ8D2I&url=%2FSparklebox-Robotics-Grade-Experiments-Ideal%2Fdp%2FB08T95Q5FM%2Fref%3Dsr_1_56_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-56-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_btf,https://m.media-amazon.com/images/I/71KFRW-2v9L._AC_UL320_.jpg
Sparklebox DIY Robotic Kit |Grade 7 | 27 Experiments | for Kids of Age 12 Years and Above| Best Robotic kit for Kids,"₹1,275",3.6 out of 5 stars,87,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0816172239ZHBZ9EQMAF&url=%2FSparklebox-Robotic-Grade-Experiments-Years%2Fdp%2FB08T9LRJJQ%2Fref%3Dsr_1_57_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-57-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_btf,https://m.media-amazon.com/images/I/718ExjfwrIL._AC_UL320_.jpg
Sparklebox Robotics & Science Combo Kit Grade 8 | | STEM Learning DIY | | 100+ Concepts of Science | | Educational Toys Gift for Kids (12 13 Years and Above) (Grade 8),"₹2,475",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06673223ORS6V2UD0AKL&url=%2FSparklebox-Robotics-Learning-Concepts-Educational%2Fdp%2FB09B471CG4%2Fref%3Dsr_1_58_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-58-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_btf,https://m.media-amazon.com/images/I/81rdav033GL._AC_UL320_.jpg
3D printed Foldable frame for Pluto nano drones - Electronics not included,₹899,5.0 out of 5 stars,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0140535W7YYX8QUS1PV&url=%2Fprinted-Foldable-frame-Pluto-drones%2Fdp%2FB0993KBQ6T%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-59-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_btf,https://m.media-amazon.com/images/I/414M9DPLidS._AC_UL320_.jpg
ThinkerPlace STEM Educational DIY Home Automation Kit with 3D Printed Case for 8+ Years Kids| Learning & Education Toys | STEM Toys | DIY kit (Without Tool Kit),"₹1,999",,Save 10%,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03979033HJ0K6Y8S4HLR&url=%2FThinkerPlace-Educational-Automation-3D-Education%2Fdp%2FB095X4X7WV%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-60-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_btf,https://m.media-amazon.com/images/I/61ViXzNMHWS._AC_UL320_.jpg
